kHz ,Time(UTC),Days,ITU, Station ,Lng,Target, Remarks ,P,Start,Stop, Input     , Type ,Tone Out,Tone In, Alpha Tag , Mode , Tag ,County,City,Agency,Notes,Source,EchoLink(E),IRLP(I),WideArea(x),ARES(s)
146.620,,,,W6SLO,,,Coordinated,,,,146.020,,,127.3,SLOECC,FMN,Ham,,San Simeon,,o127.3ersx,narcc.org,,,y,y
146.625,,,,N6SBC,,,Coordinated,,,,146.025,,,94.8,SBC ARES,FMN,Ham,,Paicines,,o94.8els,narcc.org,,,,y
146.640,,,,WR6ABD,,,Coordinated,,,,146.040,,,162.2,LPRC,FMN,Ham,,San Jose,,o162.2ex,narcc.org,,,y,
146.655,,,,KI6FKX,,,Not Coordinated,,,,146.055,,,94.8,KI6FKX,FMN,Ham,,Salinas,,#o94.8es,narcc.org,,,,y
146.655,,,,K6SA,,,Coordinated,,,,146.055,,,114.8,SARA,FMN,Ham,,Saratoga,,o114.8elrs,narcc.org,E:85531,I:3671 ,,y
146.670,,,,W6SLO,,,Coordinated,,,,146.070,,,127.3,SLOECC,FMN,Ham,,SanLuisObispo,,o127.3ersx,narcc.org,,,y,y
146.700,,,,NS6G,,,Not Coordinated,,,,146.100,,,94.8,GOB/R,FMN,Ham,,Watsonville,,#o94.8e,narcc.org,,,,
146.730,,,,W6FM,,,Coordinated,,,,146.130,,,127.3,W6FM,FMN,Ham,,San Ardo,,o127.3elsx,narcc.org,,,y,y
146.745,,,,W6JWS ,,,Empire Grade ,,,,146.145,RM,94.8 PL,,Empire,FM ,Ham ,Santa Cruz,,VHF ARES,,RadioReference,,,,
146.745,,,,W6JWS,,,Coordinated,,,,146.145,,,94.8,SLVARES,FMN,Ham,,Santa Cruz,,o94.8ers,narcc.org,,,,y
146.745,,,,W6LAH,,,Coordinated,,,,146.145,,,110.9,LAHEG,FMN,Ham,,LosAltosHills,,o110.9e,narcc.org,,,,
146.745,,,,W6LAH,,,Coordinated,,,,146.145,,,,LAHEG,FMN,Ham,,LosAltosHills,,ce,narcc.org,,,,
146.760,,,,W6BHZ,,,Coordinated,,,,146.160,,,91.5,CPARC,FMN,Ham,,SanLuisObispo,,o91.5aels,narcc.org,,I:3016,,y
146.760,,,,WB6OQS,,,Coordinated,,,,146.160,,,151.4,SCVRS,FMN,Ham,,San Jose,,o151.4alx,narcc.org,,,y,
146.775,,,,KB6MET,,,Not Coordinated,,,,146.175,,,123.0,KB6MET,FMN,Ham,,Watsonville,,#o123.0a,narcc.org,,,,
146.790,,,,K6BJ ,,,Santa Cruz ,,,,146.190,RM,94.8 PL,,S Cruz,FM ,Ham ,Santa Cruz,,VHF ARES,,RadioReference,,,,
146.790,,,,K6BJ,,,Coordinated,,,,146.190,,,94.8,SCCARC,FMN,Ham,,Santa Cruz,,o94.8aelrs,narcc.org,,,,y
146.800,,,,WB6FMC,,,Not Coordinated,,,,146.200,,,127.3,WB6FMC,FMN,Ham,,SanLuisObispo,,#o127.3ersx,narcc.org,,,y,y
146.820,,,,K6INC,,,Coordinated,,,,146.220,,,123.0,SCAN INT'L,FMN,Ham,,San Jose,,o123.0,narcc.org,,,,
146.835,,,,AE6KE ,,,Loma Prieta Summit ,,,,146.235,RM,94.8 PL,,Smt/Loma,FM ,Ham ,Santa Cruz,,VHF ARES,,RadioReference,,,,
146.835,,,,AE6KE,,,Coordinated,,,,146.235,,,94.8,SC ARES,FMN,Ham,,Santa Cruz,,o94.8ers,narcc.org,,,,y
146.835,,,,W6SLO,,,Coordinated,,,,146.235,,,127.3,SLOECC,FMN,Ham,,SantaMargarita,,o127.3ersx,narcc.org,,,y,y
146.860,,,,WB6MIA,,,Coordinated,,,,146.260,,,127.3,SLOECC,FMN,Ham,,Los Osos,,o127.3ers,narcc.org,,,,y
146.880,,,,W6YDZ,,,Coordinated,,,,146.280,,,127.3,W6YDZ,FMN,Ham,,Templeton,,o127.3elsx,narcc.org,,,y,y
146.895,,,,KB6FEC,,,Coordinated,,,,146.295,,,110.9,KB6FEC,FMN,Ham,,San Jose,,o110.9rs,narcc.org,,,,y
146.910,,,,W6OPI,,,Coordinated,,,,146.310,,,94.8,W6OPI,FMN,Ham,,Prunedale,,o94.8ers,narcc.org,E:396492,,,y
146.940,,,,KI6PAU,,,Coordinated,,,,146.340,,,94.8,KI6PAU,FMN,Ham,,Big Sur,,o94.8es,narcc.org,,,,y
146.940,,,,W6SLO,,,Coordinated,,,,146.340,,,127.3,SLOECC,FMN,Ham,,Arroyo Grande,,o127.3ers,narcc.org,,,,y
146.970,,,,K6LY,,,Not Coordinated,,,,146.370,,,94.8,NPSARC,FMN,Ham,,Monterey,,o94.8ers,narcc.org,,,,y
146.970,,,,WA6INC,,,Coordinated,,,,146.370,,,,AD1U,FMN,Ham,,San Jose,,cl,narcc.org,,,,
146.980,,,,W6YDZ,,,Coordinated,,,,146.380,,,127.3,PRARC,FMN,Ham,,Paso Robles,,o127.3els,narcc.org,,,,y
146.985,,,,W6UU,,,Coordinated,,,,146.385,,,114.8,SCCARA,FMN,Ham,,San Jose,,o114.8aer,narcc.org,,,,
